"Que 1 Understand the distribution of arrival dates, including the most common arrival days and summary statistics for lead times.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Arrival_date,total_arrivals,,,,,,,,,,,,,
02-01-2017,1897,,,,SQL QUERY,,,,,,,,,
17-10-2016,1534,,,,,,,,,,,,,
15-05-2017,1522,,,,"SELECT 
    STR_TO_DATE(CONCAT(arrival_date_year, ' ', arrival_date_week_number, ' 1'), '%X %V %w') AS arrival_date,
    COUNT(*) AS total_arrivals
FROM 
    booking_details
GROUP BY 
    arrival_date
ORDER BY 
    total_arrivals desc; ",,,,,,,,,
01-05-2017,1489,,,,,,,,,,,,,
29-05-2017,1486,,,,,,,,,,,,,
20-06-2016,1468,,,,,,,,,,,,,
24-04-2017,1466,,,,,,,,,,,,,
23-05-2016,1452,,,,,,,,,,,,,
02-05-2016,1437,,,,,,,,,,,,,
24-10-2016,1420,,,,,,,,,,,,,
10-04-2017,1419,,,,,,,,,,,,,
31-10-2016,1406,,,,,,,,,,,,,
22-05-2017,1402,,,,,,,,,,,,,
12-10-2015,1401,,,,,,,,,,,,,
07-11-2016,1396,,,,,,,,,,,,,
21-09-2015,1371,,,,,,,,,,,,,
03-10-2016,1369,,,,,,,,,,,,,
10-07-2017,1354,,,,,,,,,,,,,
28-03-2016,1341,,,,,,,,,,,,,
25-04-2016,1339,,,,,,,,,,,,,
26-06-2017,1332,,,,,,,,,,,,,
06-06-2016,1317,,,,,,,,,,,,,
28-09-2015,1304,,,,,,,,,,,,,
05-06-2017,1304,,,,,,,,,,,,,
10-10-2016,1298,,,,,,,,,,,,,
12-06-2017,1295,,,,,,,,,,,,,
19-09-2016,1290,,,,,,,,,,,,,
26-09-2016,1277,,,,,,,,,,,,,
08-05-2017,1273,,,,,,,,,,,,,
11-04-2016,1270,,,,,,,,,,,,,
16-05-2016,1263,,,,,,,,,,,,,
03-04-2017,1261,,,,,,,,,,,,,
17-04-2017,1229,,,,,,,,,,,,,
14-08-2017,1227,,,,,,,,,,,,,
20-02-2017,1223,,,,,,,,,,,,,
19-10-2015,1222,,,,,,,,,,,,,
22-08-2016,1215,,,,,,,,,,,,,
24-07-2017,1211,,,,,,,,,,,,,
13-06-2016,1203,,,,,,,,,,,,,
19-06-2017,1195,,,,,,,,,,,,,
15-08-2016,1185,,,,,,,,,,,,,
03-07-2017,1179,,,,,,,,,,,,,
18-04-2016,1176,,,,,,,,,,,,,
13-03-2017,1171,,,,,,,,,,,,,
17-08-2015,1168,,,,,,,,,,,,,
13-02-2017,1160,,,,,,,,,,,,,
14-11-2016,1153,,,,,,,,,,,,,
05-09-2016,1136,,,,,,,,,,,,,
14-09-2015,1132,,,,,,,,,,,,,
31-07-2017,1132,,,,,,,,,,,,,
09-05-2016,1129,,,,,,,,,,,,,
04-07-2016,1126,,,,,,,,,,,,,
06-03-2017,1122,,,,,,,,,,,,,
27-02-2017,1121,,,,,,,,,,,,,
25-07-2016,1106,,,,,,,,,,,,,
08-08-2016,1099,,,,,,,,,,,,,
12-09-2016,1097,,,,,,,,,,,,,
07-08-2017,1094,,,,,,,,,,,,,
29-08-2016,1087,,,,,,,,,,,,,
27-03-2017,1075,,,,,,,,,,,,,
17-07-2017,1069,,,,,,,,,,,,,
30-05-2016,1060,,,,,,,,,,,,,
27-06-2016,1059,,,,,,,,,,,,,
21-08-2017,1055,,,,,,,,,,,,,
21-03-2016,1050,,,,,,,,,,,,,
20-03-2017,1033,,,,,,,,,,,,,
07-09-2015,1031,,,,,,,,,,,,,
01-08-2016,1030,,,,,,,,,,,,,
05-10-2015,1028,,,,,,,,,,,,,
07-03-2016,1027,,,,,,,,,,,,,
11-07-2016,1014,,,,,,,,,,,,,
04-04-2016,1003,,,,,,,,,,,,,
18-07-2016,1001,,,,,,,,,,,,,
21-11-2016,1001,,,,,,,,,,,,,
29-02-2016,996,,,,,,,,,,,,,
22-02-2016,993,,,,,,,,,,,,,
04-01-2016,966,,,,,,,,,,,,,
15-02-2016,949,,,,,,,,,,,,,
05-12-2016,937,,,,,,,,,,,,,
26-10-2015,932,,,,,,,,,,,,,
23-01-2017,914,,,,,,,,,,,,,
14-03-2016,899,,,,,,,,,,,,,
12-12-2016,898,,,,,,,,,,,,,
28-11-2016,890,,,,,,,,,,,,,
16-01-2017,870,,,,,,,,,,,,,
02-11-2015,866,,,,,,,,,,,,,
10-08-2015,852,,,,,,,,,,,,,
07-12-2015,845,,,,,,,,,,,,,
09-01-2017,821,,,,,,,,,,,,,
30-01-2017,818,,,,,,,,,,,,,
06-02-2017,812,,,,,,,,,,,,,
31-08-2015,773,,,,,,,,,,,,,
27-07-2015,770,,,,,,,,,,,,,
24-08-2015,770,,,,,,,,,,,,,
28-08-2017,733,,,,,,,,,,,,,
26-12-2016,705,,,,,,,,,,,,,
08-02-2016,696,,,,,,,,,,,,,
20-07-2015,693,,,,,,,,,,,,,
23-11-2015,684,,,,,,,,,,,,,
19-12-2016,618,,,,,,,,,,,,,
30-11-2015,614,,,,,,,,,,,,,
14-12-2015,607,,,,,,,,,,,,,
03-08-2015,579,,,,,,,,,,,,,
25-01-2016,573,,,,,,,,,,,,,
01-02-2016,569,,,,,,,,,,,,,
09-11-2015,545,,,,,,,,,,,,,
28-12-2015,490,,,,,,,,,,,,,
13-07-2015,485,,,,,,,,,,,,,
18-01-2016,449,,,,,,,,,,,,,
16-11-2015,421,,,,,,,,,,,,,
11-01-2016,397,,,,,,,,,,,,,
06-07-2015,359,,,,,,,,,,,,,
21-12-2015,315,,,,,,,,,,,,,
